"Date","Price","Open","High","Low","Vol.","Change %"
"May 17, 2015","9,814.65","9,731.54","9,826.14","9,731.54","242.39M","0.85%"
"May 14, 2015","9,731.54","9,671.97","9,777.19","9,668.12","207.32M","0.62%"
"May 13, 2015","9,671.97","9,627.41","9,672.83","9,613.89","173.15M","0.46%"
"May 12, 2015","9,627.41","9,583.24","9,630.95","9,538.75","176.68M","0.46%"
"May 11, 2015","9,583.24","9,710.52","9,720.99","9,567.92","258.77M","-1.31%"
"May 10, 2015","9,710.52","9,717.90","9,740.40","9,688.08","219.66M","-0.08%"
"May 07, 2015","9,717.90","9,781.69","9,782.80","9,663.29","238.70M","-0.65%"
"May 06, 2015","9,781.69","9,751.03","9,799.15","9,719.41","273.83M","0.31%"
"May 05, 2015","9,751.03","9,787.00","9,846.92","9,746.94","329.40M","-0.37%"
"May 04, 2015","9,787.00","9,764.24","9,790.31","9,722.15","269.91M","0.23%"
"May 03, 2015","9,764.24","9,834.49","9,884.60","9,738.95","387.70M","-0.71%"
"Apr 30, 2015","9,834.49","9,812.40","9,897.46","9,812.40","388.36M","0.23%"
"Apr 29, 2015","9,812.40","9,713.07","9,818.98","9,668.76","428.70M","1.02%"
"Apr 28, 2015","9,713.07","9,710.93","9,758.99","9,682.11","383.62M","0.02%"
"Apr 27, 2015","9,710.93","9,725.17","9,737.68","9,668.19","378.75M","-0.15%"
"Apr 26, 2015","9,725.17","9,614.61","9,738.22","9,610.47","73.65M","1.15%"
"Apr 23, 2015","9,614.61","9,572.27","9,618.09","9,546.87","250.21M","0.44%"
"Apr 22, 2015","9,572.27","9,558.89","9,700.62","9,544.67","361.50M","0.14%"
"Apr 21, 2015","9,558.89","9,589.42","9,589.42","9,472.57","344.81M","-0.32%"
"Apr 20, 2015","9,589.42","9,619.97","9,685.73","9,559.69","392.83M","-0.32%"
"Apr 19, 2015","9,619.97","9,251.19","9,684.55","9,251.19","530.11M","3.99%"
"Apr 16, 2015","9,251.19","9,164.45","9,289.92","9,164.45","331.53M","0.95%"
"Apr 15, 2015","9,164.45","8,966.33","9,165.40","8,966.33","333.07M","2.21%"
"Apr 14, 2015","8,966.33","9,041.12","9,058.05","8,962.97","254.03M","-0.83%"
"Apr 13, 2015","9,041.12","8,961.13","9,044.53","8,940.88","268.46M","0.89%"
"Apr 12, 2015","8,961.13","8,950.11","9,047.00","8,950.11","272.89M","0.12%"
"Apr 09, 2015","8,950.11","8,851.83","8,960.37","8,830.11","276.96M","1.11%"
"Apr 08, 2015","8,851.83","8,802.36","8,950.80","8,802.36","363.09M","0.56%"
"Apr 07, 2015","8,802.36","8,618.63","8,806.40","8,613.43","276.90M","2.13%"
"Apr 06, 2015","8,618.63","8,589.70","8,674.00","8,574.85","194.24M","0.34%"
"Apr 05, 2015","8,589.70","8,733.79","8,745.68","8,501.94","230.21M","-1.65%"
"Apr 02, 2015","8,733.79","8,812.35","8,871.45","8,676.09","241.22M","-0.89%"
"Apr 01, 2015","8,812.35","8,778.89","8,832.27","8,741.65","239.17M","0.38%"
"Mar 31, 2015","8,778.89","8,957.05","8,995.36","8,726.34","297.86M","-1.99%"
"Mar 30, 2015","8,957.05","9,071.20","9,086.07","8,954.63","277.42M","-1.26%"
"Mar 29, 2015","9,071.20","8,903.49","9,105.67","8,903.49","283.59M","1.88%"
"Mar 26, 2015","8,903.49","8,868.12","8,916.46","8,496.87","379.33M","0.40%"
"Mar 25, 2015","8,868.12","9,331.19","9,331.98","8,855.54","444.58M","-4.96%"
"Mar 24, 2015","9,331.19","9,319.69","9,376.71","9,279.66","336.10M","0.12%"
"Mar 23, 2015","9,319.69","9,314.53","9,361.60","9,249.60","332.02M","0.06%"
"Mar 22, 2015","9,314.53","9,174.41","9,322.79","9,173.67","380.00M","1.53%"
"Mar 19, 2015","9,174.41","9,133.87","9,248.08","9,101.69","351.24M","0.44%"
"Mar 18, 2015","9,133.87","9,303.13","9,303.13","8,887.51","367.71M","-1.82%"
"Mar 17, 2015","9,303.13","9,438.24","9,458.54","9,270.07","350.09M","-1.43%"
"Mar 16, 2015","9,438.24","9,628.65","9,646.68","9,377.00","374.19M","-1.98%"
"Mar 15, 2015","9,628.65","9,691.00","9,691.00","9,585.46","325.10M","-0.64%"
