"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 04, 2014","9,148.73","9,019.98","9,148.89","9,019.98","369.76M","1.43%"
"Mar 03, 2014","9,019.98","9,088.68","9,088.68","8,971.56","341.70M","-0.76%"
"Mar 02, 2014","9,088.68","9,106.55","9,137.58","9,045.74","313.33M","-0.20%"
"Feb 27, 2014","9,106.55","9,058.54","9,111.72","9,054.71","248.91M","0.53%"
"Feb 26, 2014","9,058.54","9,061.93","9,069.53","9,042.57","317.95M","-0.04%"
"Feb 25, 2014","9,061.93","9,057.08","9,086.22","9,020.74","304.92M","0.05%"
"Feb 24, 2014","9,057.08","9,023.42","9,059.45","9,019.25","309.68M","0.37%"
"Feb 23, 2014","9,023.42","8,988.87","9,036.14","8,988.87","263.87M","0.38%"
"Feb 20, 2014","8,988.87","8,967.62","8,993.26","8,952.05","287.19M","0.24%"
"Feb 19, 2014","8,967.62","8,956.86","8,977.02","8,939.44","266.24M","0.12%"
"Feb 18, 2014","8,956.86","8,939.88","8,979.02","8,936.67","204.98M","0.19%"
"Feb 17, 2014","8,939.88","8,970.44","8,983.88","8,919.02","216.44M","-0.34%"
"Feb 16, 2014","8,970.44","8,929.60","8,990.11","8,929.60","211.24M","0.46%"
"Feb 13, 2014","8,929.60","8,912.58","8,935.97","8,912.58","200.68M","0.19%"
"Feb 12, 2014","8,912.58","8,859.20","8,917.19","8,858.05","204.64M","0.60%"
"Feb 11, 2014","8,859.20","8,873.95","8,879.84","8,844.59","226.84M","-0.17%"
"Feb 10, 2014","8,873.95","8,865.80","8,876.62","8,841.87","190.80M","0.09%"
"Feb 09, 2014","8,865.80","8,819.31","8,901.50","8,819.31","241.06M","0.53%"
"Feb 06, 2014","8,819.31","8,792.80","8,825.07","8,788.04","196.21M","0.30%"
"Feb 05, 2014","8,792.80","8,768.90","8,799.80","8,759.53","228.55M","0.27%"
"Feb 04, 2014","8,768.90","8,806.92","8,806.92","8,692.48","260.63M","-0.43%"
"Feb 03, 2014","8,806.92","8,835.12","8,848.96","8,800.10","253.26M","-0.32%"
"Feb 02, 2014","8,835.12","8,760.62","8,843.41","8,760.62","258.05M","0.85%"
"Jan 30, 2014","8,760.62","8,704.21","8,760.62","8,680.56","232.09M","0.65%"
"Jan 29, 2014","8,704.21","8,656.11","8,742.63","8,656.11","216.87M","0.56%"
"Jan 28, 2014","8,656.11","8,655.01","8,700.42","8,636.55","180.24M","0.01%"
"Jan 27, 2014","8,655.01","8,735.59","8,746.27","8,649.25","210.11M","-0.92%"
"Jan 26, 2014","8,735.59","8,771.99","8,771.99","8,609.68","204.32M","-0.41%"
"Jan 23, 2014","8,771.99","8,761.16","8,803.73","8,757.94","179.21M","0.12%"
"Jan 22, 2014","8,761.16","8,734.49","8,789.35","8,705.92","231.37M","0.31%"
"Jan 21, 2014","8,734.49","8,727.78","8,743.73","8,656.26","223.18M","0.08%"
