"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 02, 2015","10,469.41","10,434.34","10,486.72","10,433.85","-","0.08%"
"Feb 27, 2015","10,460.62","10,408.56","10,460.62","10,397.94","-","-0.01%"
"Feb 26, 2015","10,462.04","10,463.08","10,479.75","10,437.23","-","-0.19%"
"Feb 25, 2015","10,481.95","10,394.61","10,481.97","10,392.64","-","0.74%"
"Feb 24, 2015","10,405.47","10,386.64","10,433.27","10,361.53","-","0.04%"
"Feb 23, 2015","10,401.47","10,397.52","10,422.04","10,376.48","-","-0.03%"
"Feb 20, 2015","10,404.31","10,372.36","10,411.99","10,332.05","-","0.23%"
"Feb 19, 2015","10,380.25","10,240.71","10,380.36","10,233.34","-","1.57%"
"Feb 18, 2015","10,220.23","10,243.92","10,255.30","10,192.22","-","-0.23%"
"Feb 17, 2015","10,244.20","10,251.25","10,251.25","10,179.71","-","-0.17%"
"Feb 16, 2015","10,261.44","10,249.56","10,276.01","10,232.75","-","0.04%"
"Feb 13, 2015","10,257.82","10,256.65","10,286.75","10,248.71","-","-0.11%"
"Feb 12, 2015","10,268.67","10,295.94","10,317.75","10,263.15","-","-0.52%"
"Feb 11, 2015","10,322.43","10,326.22","10,344.31","10,304.56","-","0.07%"
"Feb 10, 2015","10,315.30","10,292.58","10,315.30","10,267.25","-","0.20%"
"Feb 09, 2015","10,294.48","10,343.80","10,344.19","10,244.60","-","-0.57%"
"Feb 06, 2015","10,353.17","10,232.36","10,353.17","10,232.36","-","0.92%"
"Feb 05, 2015","10,259.16","10,259.44","10,286.19","10,246.30","-","0.07%"
"Feb 04, 2015","10,251.67","10,158.70","10,251.67","10,158.23","-","0.77%"
"Feb 03, 2015","10,173.69","10,216.90","10,221.24","10,138.68","-","-0.38%"
"Feb 02, 2015","10,212.52","10,203.91","10,212.52","10,153.45","-","-0.10%"
"Jan 30, 2015","10,222.56","10,123.97","10,222.56","10,076.91","-","0.91%"
"Jan 29, 2015","10,130.59","10,126.22","10,140.59","10,070.99","-","-0.22%"
"Jan 28, 2015","10,153.16","10,100.32","10,153.16","10,057.04","-","0.59%"
"Jan 27, 2015","10,093.64","10,116.30","10,122.38","10,083.12","-","-0.38%"
"Jan 26, 2015","10,131.71","10,158.74","10,175.38","10,114.56","-","-0.46%"
"Jan 23, 2015","10,178.70","10,197.11","10,202.68","10,147.97","-","-0.54%"
"Jan 22, 2015","10,233.84","10,300.89","10,302.92","10,233.84","-","-0.84%"
"Jan 21, 2015","10,320.17","10,343.06","10,355.81","10,263.78","-","-0.37%"
"Jan 20, 2015","10,358.22","10,324.84","10,360.87","10,277.85","-","0.05%"
"Jan 19, 2015","10,353.18","10,315.75","10,381.58","10,260.50","-","0.18%"
"Jan 16, 2015","10,334.72","10,268.54","10,378.22","10,268.54","-","0.66%"
"Jan 15, 2015","10,266.95","10,272.53","10,329.14","10,203.02","-","0.04%"
"Jan 14, 2015","10,262.68","10,204.47","10,294.65","10,188.01","-","0.40%"
"Jan 13, 2015","10,221.94","10,021.18","10,221.94","10,018.22","-","1.95%"
"Jan 12, 2015","10,026.79","9,971.66","10,026.79","9,944.89","-","0.34%"
"Jan 09, 2015","9,993.19","9,822.10","9,993.19","9,810.87","-","1.93%"
"Jan 08, 2015","9,803.87","9,745.36","9,804.37","9,699.88","-","0.55%"
"Jan 07, 2015","9,750.30","9,644.21","9,751.01","9,628.49","-","1.02%"
"Jan 06, 2015","9,651.78","9,644.78","9,651.78","9,610.50","-","0.09%"
"Jan 02, 2015","9,643.19","9,565.92","9,643.19","9,565.92","-","0.24%"
"Dec 31, 2014","9,620.11","9,617.20","9,637.47","9,596.97","-","-0.17%"
