"Date","Price","Open","High","Low","Vol.","Change %"
"May 26, 2015","4,615.09","4,626.74","4,638.00","4,600.23","39.68M","-0.23%"
"May 25, 2015","4,625.94","4,616.51","4,646.52","4,616.51","32.45M","0.20%"
"May 24, 2015","4,616.51","4,646.13","4,648.53","4,614.60","41.44M","-0.73%"
"May 21, 2015","4,650.66","4,630.99","4,675.63","4,630.99","36.13M","0.42%"
"May 20, 2015","4,630.99","4,638.67","4,659.96","4,628.35","52.98M","-0.13%"
"May 19, 2015","4,636.80","4,616.49","4,646.09","4,615.85","116.03M","0.49%"
"May 18, 2015","4,614.22","4,584.48","4,614.22","4,579.30","73.32M","0.65%"
"May 17, 2015","4,584.48","4,630.92","4,634.64","4,575.57","55.29M","-0.98%"
"May 14, 2015","4,629.99","4,614.36","4,640.71","4,614.36","84.90M","0.34%"
"May 13, 2015","4,614.36","4,597.47","4,632.70","4,589.20","152.30M","0.44%"
"May 12, 2015","4,594.19","4,588.15","4,594.19","4,565.19","62.89M","0.14%"
"May 11, 2015","4,587.62","4,576.34","4,594.42","4,560.09","51.13M","0.26%"
"May 10, 2015","4,575.78","4,554.88","4,576.04","4,544.91","78.28M","0.46%"
"May 07, 2015","4,554.88","4,566.00","4,579.06","4,553.97","121.49M","-0.24%"
"May 06, 2015","4,566.00","4,588.06","4,588.14","4,555.20","235.05M","-0.51%"
"May 05, 2015","4,589.19","4,551.23","4,589.19","4,545.53","55.90M","0.78%"
"May 04, 2015","4,553.61","4,617.67","4,625.83","4,534.96","292.82M","-1.41%"
"May 03, 2015","4,618.87","4,649.38","4,688.58","4,618.87","110.02M","-0.61%"
"Apr 30, 2015","4,647.12","4,681.26","4,682.95","4,647.12","92.80M","-0.67%"
"Apr 29, 2015","4,678.65","4,674.31","4,695.77","4,666.96","165.29M","0.12%"
"Apr 28, 2015","4,673.18","4,674.16","4,675.19","4,637.18","126.69M","-0.02%"
"Apr 27, 2015","4,674.16","4,668.66","4,691.36","4,657.98","337.58M","0.17%"
"Apr 26, 2015","4,666.39","4,634.02","4,670.87","4,633.48","427.97M","0.75%"
"Apr 23, 2015","4,631.75","4,705.41","4,705.41","4,626.23","135.18M","-1.58%"
"Apr 22, 2015","4,705.90","4,680.58","4,723.42","4,680.58","174.73M","0.57%"
"Apr 21, 2015","4,679.13","4,657.24","4,696.78","4,657.24","355.76M","0.47%"
"Apr 20, 2015","4,657.24","4,623.70","4,657.46","4,620.31","183.09M","0.74%"
"Apr 19, 2015","4,623.20","4,655.80","4,655.80","4,623.20","410.98M","-0.70%"
"Apr 16, 2015","4,655.80","4,627.93","4,660.41","4,627.93","374.04M","0.72%"
"Apr 15, 2015","4,622.30","4,592.40","4,626.09","4,592.35","319.35M","0.56%"
"Apr 14, 2015","4,596.42","4,589.29","4,613.73","4,586.50","142.18M","0.16%"
"Apr 13, 2015","4,589.29","4,563.26","4,601.15","4,562.13","114.36M","0.63%"
