"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 19, 2013","4,597.41","4,589.63","4,597.41","4,575.79","-","0.33%"
"Jun 18, 2013","4,582.16","4,597.28","4,603.40","4,565.60","-","-0.28%"
"Jun 17, 2013","4,594.86","4,605.69","4,624.77","4,594.33","-","-0.20%"
"Jun 14, 2013","4,604.22","4,578.18","4,604.22","4,578.18","-","0.54%"
"Jun 13, 2013","4,579.46","4,565.96","4,579.46","4,560.62","-","0.23%"
"Jun 12, 2013","4,569.17","4,556.27","4,579.33","4,554.51","-","0.36%"
"Jun 11, 2013","4,552.86","4,550.99","4,562.95","4,545.91","-","0.11%"
"Jun 10, 2013","4,547.83","4,549.65","4,549.65","4,524.36","-","-0.10%"
"Jun 07, 2013","4,552.34","4,566.07","4,566.07","4,545.77","-","-0.18%"
"Jun 06, 2013","4,560.41","4,565.89","4,571.86","4,549.59","-","0.07%"
"Jun 05, 2013","4,557.23","4,564.88","4,574.37","4,538.88","-","-0.18%"
"Jun 04, 2013","4,565.32","4,577.07","4,579.61","4,548.65","-","-0.22%"
"Jun 03, 2013","4,575.61","4,574.95","4,594.09","4,564.63","-","0.13%"
"May 31, 2013","4,569.83","4,574.93","4,577.29","4,555.65","-","-0.04%"
"May 30, 2013","4,571.47","4,585.06","4,594.44","4,565.04","-","-0.16%"
"May 29, 2013","4,578.68","4,595.29","4,602.51","4,564.41","-","-0.29%"
"May 28, 2013","4,591.99","4,565.49","4,593.16","4,562.31","-","0.94%"
"May 27, 2013","4,549.05","4,519.54","4,566.53","4,519.54","-","0.66%"
"May 24, 2013","4,519.07","4,496.33","4,519.07","4,486.24","-","0.69%"
"May 23, 2013","4,488.24","4,471.02","4,488.84","4,464.06","-","0.53%"
"May 22, 2013","4,464.62","4,433.10","4,464.67","4,433.10","-","0.72%"
"May 21, 2013","4,432.58","4,410.10","4,432.58","4,403.97","-","0.51%"
