"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 27, 2006","4,449.92","4,409.15","4,467.38","4,409.15","-","0.92%"
"Mar 26, 2006","4,409.15","4,387.97","4,409.52","4,380.42","-","0.48%"
"Mar 25, 2006","4,388.04","4,381.33","4,389.57","4,379.61","-","0.15%"
"Mar 23, 2006","4,381.64","4,387.66","4,391.66","4,355.41","-","-0.17%"
"Mar 22, 2006","4,389.00","4,353.99","4,391.49","4,353.99","-","0.78%"
"Mar 21, 2006","4,355.02","4,312.32","4,356.81","4,312.32","-","1.12%"
"Mar 20, 2006","4,306.90","4,350.46","4,350.46","4,265.52","-","-1.06%"
"Mar 19, 2006","4,353.04","4,368.18","4,424.80","4,353.04","-","-0.28%"
"Mar 18, 2006","4,365.31","4,125.17","4,365.83","4,125.17","-","5.89%"
"Mar 16, 2006","4,122.59","3,986.75","4,122.59","3,986.13","-","3.40%"
"Mar 15, 2006","3,986.96","4,021.16","4,021.16","3,936.52","-","-0.85%"
"Mar 14, 2006","4,021.26","4,208.62","4,208.62","4,021.12","-","-4.44%"
"Mar 13, 2006","4,208.00","4,313.64","4,313.64","4,206.19","-","-2.53%"
"Mar 12, 2006","4,317.31","4,331.26","4,331.26","4,298.04","-","-0.32%"
"Mar 11, 2006","4,331.33","4,372.61","4,373.29","4,307.54","-","-0.96%"
"Mar 09, 2006","4,373.33","4,411.23","4,411.23","4,369.19","-","-0.91%"
"Mar 08, 2006","4,413.41","4,394.60","4,426.27","4,394.06","-","0.43%"
"Mar 07, 2006","4,394.39","4,448.16","4,448.97","4,394.27","-","-1.23%"
"Mar 06, 2006","4,449.30","4,434.04","4,471.03","4,391.62","-","0.33%"
"Mar 05, 2006","4,434.56","4,468.09","4,468.09","4,398.73","-","-0.76%"
"Mar 04, 2006","4,468.40","4,508.69","4,508.69","4,467.56","-","-0.90%"
"Mar 02, 2006","4,509.10","4,484.48","4,509.10","4,471.85","-","0.54%"
"Mar 01, 2006","4,484.69","4,502.76","4,502.76","4,458.09","-","-0.41%"
"Feb 28, 2006","4,503.28","4,579.44","4,584.65","4,503.28","-","-1.67%"
"Feb 27, 2006","4,579.54","4,706.82","4,706.82","4,484.81","-","-2.73%"
"Feb 26, 2006","4,708.13","4,598.57","4,731.45","4,598.57","-","2.39%"
"Feb 25, 2006","4,598.26","4,492.75","4,608.81","4,492.75","-","2.38%"
